Requirement ID,Requirement,Architecture evidence,Verification or approval gate,Status
GSEC-001,"Security and privacy architecture mandate","33-global-security-privacy-compliance-architecture.md","Architecture Board CISO Privacy and Legal review","COMPLETE_FOR_ARCHITECTURE_REVIEW"
GSEC-002,"Security embedded across every architecture layer","Documents 33-38 and diagrams/global-security-context.mmd","Cross-layer control and threat review","COMPLETE_FOR_ARCHITECTURE_REVIEW"
GSEC-003,"Applicable current ISO IEC baseline and no blind certification claim","standards-applicability-crosswalk.csv and document 33 section 3","Licensed standards register and certification claim gate","PROPOSED_REQUIRES_APPROVAL"
GSEC-004,"NIST CSF 2.0 Govern Identify Protect Detect Respond Recover mapping","nist-csf-2-crosswalk.csv","CISO risk profile review","COMPLETE_FOR_ARCHITECTURE_REVIEW"
GSEC-005,"NIST SP applicability assessment","standards-applicability-crosswalk.csv","Framework-by-framework applicability approval","COMPLETE_FOR_ARCHITECTURE_REVIEW"
GSEC-006,"Zero trust architecture","34-zero-trust-iam-pam-architecture.md and zero-trust diagram","Zero-trust conformance and failure tests","COMPLETE_FOR_ARCHITECTURE_REVIEW"
GSEC-007,"Enterprise IAM","Document 34 sections 3-6","Identity platform decision and conformance evidence","PROPOSED_REQUIRES_PLATFORM_DECISION"
GSEC-008,"PAM for privileged accounts","Document 34 sections 8-10","PAM platform decision and privileged journey tests","PROPOSED_REQUIRES_PLATFORM_DECISION"
GSEC-009,"RBAC plus ABAC","Document 34 sections 6-8 and rbac-abac-matrix.csv","Policy matrix property and tenant tests","MANDATORY_BASELINE"
GSEC-010,"Non-bypassable multi-tenant isolation at every layer","Document 35 section 5 and ST-AUT-002","Independent tenant-isolation evidence","CRITICAL_RELEASE_BLOCKER"
GSEC-011,"Five-level data classification framework","Document 35 section 1 and data-classification-retention.csv","Data inventory and handling review","PROPOSED_REQUIRES_APPROVAL"
GSEC-012,"Encryption in transit at rest and justified field protection","Document 35 sections 3-4","Cryptographic platform decision and posture tests","PROPOSED_REQUIRES_PLATFORM_DECISION"
GSEC-013,"Central key management and no secrets in source","Document 35 section 4 and SEC-KEY controls","KMS HSM decision rotation and compromise drill","PROPOSED_REQUIRES_PLATFORM_DECISION"
GSEC-014,"Centralized secrets management","Document 35 section 4 and SEC-KEY-002","Vault integration and repository artifact log tests","PARTIAL_SECRET_SCAN_EXISTS"
GSEC-015,"Application security against OWASP and business abuse","Document 35 section 6 and ASVS control mapping","ASVS 5.0.0 traceability DAST and penetration evidence","PROPOSED_REQUIRES_IMPLEMENTATION"
GSEC-016,"DevSecOps throughout the lifecycle","Document 38 sections 1-2","Evidence-gated pipeline implementation","PROPOSED_REQUIRES_IMPLEMENTATION"
GSEC-017,"Supply-chain security and SBOM","Document 38 section 3 and SEC-SUP controls","SBOM provenance signing admission and tamper tests","PROPOSED_REQUIRES_IMPLEMENTATION"
GSEC-018,"API security","Document 35 section 7 and API controls","API inventory authorization fuzz resource and replay tests","PROPOSED_REQUIRES_IMPLEMENTATION"
GSEC-019,"ITAS and government integration security","Documents 35 section 7 and 36 threat register","Official contract sandbox and conformance","LIVE_INTEGRATION_DISABLED"
GSEC-020,"Tax invoice integrity security","Document 35 section 8 and fiscal threat/test rows","NamRA legal cryptographic and golden-case approval","REQUIRES_NAMIBIAN_CONFIRMATION"
GSEC-021,"Forensic-grade immutable audit","Document 36 sections 2-3 and ADR-027","Audit platform and integrity tests","PROPOSED_REQUIRES_PLATFORM_DECISION"
GSEC-022,"SOC SIEM SOAR and security monitoring","Document 36 sections 1-4","SOC platform staffing and readiness exercise","PROPOSED_REQUIRES_PLATFORM_AND_STAFFING"
GSEC-023,"Multi-signal security event correlation","Document 36 sections 4-6","Detection fixtures and analyst reproducibility","PROPOSED_REQUIRES_IMPLEMENTATION"
GSEC-024,"Continuous threat detection engine","Document 36 section 4 and detection test ST-MON-001","Detection coverage freshness and simulation","PROPOSED_REQUIRES_IMPLEMENTATION"
GSEC-025,"WAF DDoS bot rate reputation and API protection","Document 35 section 9","Edge platform decision load and bypass tests","PROPOSED_REQUIRES_PLATFORM_DECISION"
GSEC-026,"Defense-in-depth network architecture","Document 35 section 9 and defence-in-depth diagram","External exposure and network architecture review","COMPLETE_FOR_ARCHITECTURE_REVIEW"
GSEC-027,"Microsegmentation","Document 35 section 9 and SEC-NET-002","East-west and egress negative tests","PROPOSED_REQUIRES_PLATFORM_DECISION"
GSEC-028,"Database security","Document 35 sections 5 and 11","Database roles RLS activity integrity and restore tests","PROPOSED_REQUIRES_PLATFORM_DECISION"
GSEC-029,"Immutable backup architecture","Documents 20 and 38 section 7; SEC-RES-001","Deletion resistance and restore evidence","NOT_READY_REQUIRES_PLATFORM_AND_EXERCISE"
GSEC-030,"ISO 22301-aligned business continuity","Documents 20 and 38 section 7","BCMS approval BIA and exercises","NOT_READY_REQUIRES_EXERCISE"
GSEC-031,"High availability","Documents 19 and 38 section 7","Funded topology capacity and failover evidence","NOT_READY_REQUIRES_CAPACITY_EVIDENCE"
GSEC-032,"Horizontally scalable security for millions of users","Document 38 sections 7-8 and SEC-RES-003","Representative peak spike soak and dependency failure tests","NOT_READY_REQUIRES_CAPACITY_EVIDENCE"
GSEC-033,"Privacy-by-design and PIMS","37-privacy-regional-compliance-architecture.md","Privacy legal PIMS and DPIA approval","PROPOSED_REQUIRES_LEGAL_REVIEW"
GSEC-034,"EU GDPR NIS2 and related applicability","Document 37 section 8 and regional matrix","Country and Member State legal applicability decisions","CONDITIONAL_LEGAL_ASSESSMENT_REQUIRED"
GSEC-035,"USA security and compliance profile","Document 37 section 9 and USA profile manifest","US state federal sector and contract review","CONDITIONAL_LEGAL_ASSESSMENT_REQUIRED"
GSEC-036,"Conditional PCI DSS payment security","Document 37 section 10 and SEC-REG-003","Payment architecture and formal scope assessment","PAYMENTS_DISABLED_SCOPE_UNDETERMINED"
GSEC-037,"Extensible regional profile engine","Document 37 sections 12-13 and security-profiles","Country-specific applicability and signing gate","COMPLETE_FOR_ARCHITECTURE_REVIEW"
GSEC-038,"Namibia security and compliance profile","Document 37 section 11 and security-profiles/NAM/manifest.yaml","Namibia Legal NamRA CISO and independent review","REQUIRES_NAMIBIAN_CONFIRMATION"
GSEC-039,"Compliance as code","security-profiles global and regional manifests","Schema signature policy and negative tests","DESIGNED_NON_EXECUTABLE"
GSEC-040,"Hierarchical security policy engine","Document 33 section 5 and ADR-028","Monotonic merge conflict and downgrade tests","PROPOSED_REQUIRES_ADR_APPROVAL"
GSEC-041,"Global regional country organisation and user policy hierarchy","Document 33 section 5 and profile README","Architecture CISO Privacy and Legal review","COMPLETE_FOR_ARCHITECTURE_REVIEW"
GSEC-042,"Hard-coded non-bypassable security invariants","Documents 33 section 2 and 35","Static configuration and negative policy tests","MANDATORY_BASELINE"
GSEC-043,"Vulnerability management","Documents 36 section 12 and 38 section 4","Scanner case remediation and SLO implementation","PROPOSED_REQUIRES_IMPLEMENTATION"
GSEC-044,"Independent penetration testing before production","Document 38 section 6 and ST-PEN-001","Authorized independent test and retest","NOT_READY_REQUIRES_TEST"
GSEC-045,"Formal threat modeling for critical domains","security-threat-register.csv and document 17","Quarterly and material-change threat review","COMPLETE_INITIAL_MODEL_CONTINUOUS_REVIEW_REQUIRED"
GSEC-046,"Fraud and cyber risk convergence with separation","Document 36 section 5","Governance explainability and linked-case tests","PROPOSED_REQUIRES_GOVERNED_ENGINE"
GSEC-047,"Conditional AI security and governance","Document 37 and SEC-REG-004","Separate AI architecture impact and legal approval","AI_DISABLED"
GSEC-048,"Incident response lifecycle","Document 36 sections 7-11 and incident diagram","CSIRT staffing playbooks and exercises","PROPOSED_REQUIRES_STAFFING_AND_EXERCISE"
GSEC-049,"Digital forensics","Document 36 section 10 and SEC-FOR-001","Legal review and custody exercise","PROPOSED_REQUIRES_LEGAL_REVIEW"
GSEC-050,"Third-party security","Documents 36 section 13 and 38 section 3","Procurement contracts evidence and supplier exercise","PROPOSED_REQUIRES_PROCUREMENT_REVIEW"
GSEC-051,"Measurable security objectives","security-slo-catalog.csv","CISO operations target approval and measurement tests","PROPOSED_TARGETS_NOT_PROVEN"
GSEC-052,"Role-specific security dashboards","Document 33 section 13","UX security privacy and data-leakage tests","PROPOSED_REQUIRES_IMPLEMENTATION"
GSEC-053,"Transparent security posture score","Document 33 section 13","Metric governance and stale evidence tests","PROPOSED_REQUIRES_IMPLEMENTATION"
GSEC-054,"Master global security control matrix","security-control-matrix.csv","Control owner completeness and assurance review","COMPLETE_FOR_ARCHITECTURE_REVIEW"
GSEC-055,"Standard-to-architecture crosswalk","standards-applicability-crosswalk.csv","Licensed standard and legal source review","COMPLETE_FOR_ARCHITECTURE_REVIEW"
GSEC-056,"No false certification claims","Document 33 sections 1 and 3; ADR-025","Legal CISO communications approval","MANDATORY_BASELINE"
GSEC-057,"Complete A through T security deliverable package","Documents 33-38; matrices; ADRs; diagrams","Deliverable register review","COMPLETE_FOR_ARCHITECTURE_REVIEW"
GSEC-058,"Defense in depth secure despite individual control failure","Documents 33 section 6 and 35; diagrams","Fault injection and layer-bypass tests","COMPLETE_DESIGN_IMPLEMENTATION_PENDING"
GSEC-059,"One global core with jurisdiction-specific security profiles","Document 33 section 5; document 37; ADR-028","Global regression and country readiness","COMPLETE_FOR_ARCHITECTURE_REVIEW"
GSEC-060,"Architecture controls code infrastructure policy monitoring testing evidence improvement chain before production","Document 33; policy-control-evidence-chain diagram; document 38","Formal architecture approval and phase gates","ARCHITECTURE_COMPLETE_FOR_REVIEW_PRODUCTION_NOT_AUTHORIZED"
