Data_class,Examples,Default_access,Protection,Logging,Export,Retention_and_disposal
PUBLIC,"approved verification result,public documentation",Anonymous minimal view,TLS integrity and cache policy,Aggregate access telemetry,Approved public formats,Policy-defined and purgeable
INTERNAL,"service health,non-sensitive configuration,API documentation",Authorized workforce/partners,Encryption and environment separation,Actor/change/correlation,Controlled,Operational policy
CONFIDENTIAL,"organisation contacts,quotations,projects,inventory,expenses",Organisation membership and purpose,Encryption tenant ABAC masking,Material access and all changes,Owner-approved bounded export,Contract/tax/privacy policy pending legal approval
RESTRICTED_TAX,"VAT/TIN/company IDs,invoices,ledgers,returns,payments,case evidence",Taxpayer scope or authorized NamRA case/portfolio,Strong encryption private data plane DLP,Read/search/export and all mutations,Approval manifest watermark where appropriate,Statutory retention and legal hold; no deletion without authority
RESTRICTED_IDENTITY,"provider subjects,assurance,delegation,session/revocation metadata",IAM and minimum service need,Token/field protection separate key policy,Never token values; all admin use,Normally prohibited,Identity lifecycle plus legal/security hold
RESTRICTED_RISK,"NamRA models,indicators,investigation notes",Cleared assigned officials only,Separated store/policy enhanced monitoring,Every access/query/export,Exceptional dual approval,Case/risk policy and legal hold
RESTRICTED_SECURITY,"detections,incidents,forensics,threat intelligence",SOC/incident need-to-know,Isolated security lake immutable retention,Every access/action,Incident commander/legal approval,Security/evidence schedule and legal hold
SECRET,"passwords,private keys,API secrets,signing material",Dedicated manager/KMS/HSM only,Non-exportable where possible rotation and dual control,Metadata/use only never value,Never,Rotate/revoke; cryptographic destruction per policy
INTERNAL,"country-pack public metadata,currency catalogue,locale catalogue",Authenticated platform and approved integrators,Signed versioned distribution,Reads and every change,Approved machine-readable contract,Retain while supported plus audit period
RESTRICTED_TAX,"country tax rules,interpretation evidence,golden fiscal cases",Assigned regulatory and assurance roles,Encrypted immutable registry with signature verification,Every read/export/change/decision,Controlled evidence bundle,Statutory and decision-evidence schedule; no destructive version deletion
RESTRICTED_TAX,"jurisdiction evidence,conflicts,migration cases",Assigned case and regulatory roles,Encrypted tenant/case ABAC,Every access/query/export and decision,Exceptional approved case export,Tax/privacy schedule and legal hold
CONFIDENTIAL,"exchange-rate observations,sources and manual-rate requests",Finance/tax services and authorized reviewers,Exact-value store signed source provenance,Every publication/manual decision,Controlled bounded export,Finance/tax evidence schedule
RESTRICTED_SECURITY,"country-pack hashes,signatures,readiness evidence,activation and rollback records",Release assurance security and audit need-to-know,Immutable high-integrity store; HSM-backed signature keys,Every access/use/change,Approval manifest only,Software supply-chain and audit schedule; legal hold
RESTRICTED_IDENTITY,"country regulatory role appointments,conflicts and attestations",IAM assurance and internal audit need-to-know,Strong identity proofing separate privileged realm,Every appointment/use/review,Normally prohibited,Appointment lifecycle plus audit/legal hold
CONFIDENTIAL,"country residency/privacy policy and transfer approvals",Privacy legal security and data owners,Policy-enforced regional metadata with immutable decisions,Every decision and policy use,Approved compliance evidence,Applicable privacy/records schedule
