Requirement_ID,Requirement,Architecture_Component,Service_Module,Data_Store,API_Event,Security_Control,Business_Process,Verification
1,Executive System Directive,Enterprise architecture,All bounded domains,All governed stores,All contract groups,Approval gate and audit,All processes,Architecture board review
2,One Taxpayer Identity,Canonical identity,Taxpayer and Organisation,Taxpayer master,Taxpayer API,Unique keys and ABAC,BP-01 registration,Duplicate and invariant tests
3,ITAS Potential Identity Provider,Identity federation,Identity Adapter,Identity links,OIDC or confirmed ITAS contract,Federation validation,BP-03 federated sign-in,ITAS conformance and outage tests
4,Dual Access Model,Identity architecture,Identity Service,User identities,Login and token APIs,MFA and account linking,BP-02 and BP-03,Authentication journey and collision tests
5,Identity Federation,Identity architecture,Identity Broker,Issuer-subject links,Federation callbacks,Signature nonce state and assurance,BP-03 federated sign-in,Protocol security tests
6,Three Primary User Portals,Experience architecture,Portal BFFs,Read models,Portal APIs,Audience and tenant policies,Taxpayer NamRA and Super Admin journeys,E2E persona tests
7,Administration Architecture,Admin control plane,Administration Module,Admin configuration,Admin APIs,JIT PAM maker-checker and audit,Privileged administration,SoD and session-recording tests
8,RBAC and ABAC,Policy architecture,Authorization Service,Roles policies grants,Policy decision API and events,Default deny RBAC ABAC purpose,BP-04 to BP-06,Policy matrix and tenant tests
9,Taxpayer Registration,Canonical identity,Registration Module,Taxpayer and organisation,Registration API,Proofing consent and audit,BP-01 registration,Happy duplicate and fraud cases
10,Taxpayer Registration Workflow,Process architecture,Registration Orchestrator,Registration cases,Registration commands and events,MFA maker-checker and quarantine,BP-01 registration,Workflow state-transition tests
11,Taxpayer Organisation Model,Domain architecture,Organisation Module,Organisation and branch,Organisation API,Tenant boundary and lifecycle,BP-01 and BP-07,One-to-one and lifecycle tests
12,Multi-User Organisation,Access architecture,Membership Module,Memberships and assignments,User and role APIs,Least privilege SoD and invite controls,BP-04 and BP-05,Membership and revocation tests
13,Buyer Seller Dynamic Role Engine,Transaction context,Party and Invoice Modules,Invoice parties,Invoice API,Transaction-scoped authorization,BP-09 invoice issue,Role reversal and snapshot tests
14,VAT-MSA Core Function,Fiscal architecture,Fiscal Core,Invoice VAT return stores,Fiscal APIs and events,Integrity policy and audit,BP-09 BP-20 BP-22,End-to-end fiscal golden cases
15,Three Unique Identifiers,Master-data architecture,Taxpayer Module,Taxpayer identifiers,Verification API,Uniqueness and masking,BP-01 registration,Precedence duplicate and format tests
16,Tax Invoice Data Model,Fiscal data architecture,Invoice Module,Invoice header lines totals,Invoice API and InvoiceCertified,Field classification and immutability,BP-09 invoice issue,Schema totals and boundary tests
17,VAT Transaction Engine,Fiscal ledger,VAT Transaction Module,VAT transaction ledger,VAT APIs and VATTransactionCreated,Append-only and idempotency,BP-09 and BP-12,Input output and duplicate tests
18,Output VAT,Fiscal calculation,VAT Transaction Module,Output VAT entries,VAT query and events,Rule-version evidence,BP-09 invoice issue,Output VAT golden cases
19,Input VAT,Fiscal calculation,VAT Transaction Module,Input VAT candidates,VAT query and match events,Evidence eligibility and fraud controls,BP-12 supplier input,Eligibility duplicate and mismatch tests
20,Generic Tax Invoice,Invoice architecture,Invoice Module,Generic invoice schema,Invoice API,Certification and data minimisation,BP-09 invoice issue,Supply-type contract cases
21,VAT Return Engine,Return architecture,Return Module,Return versions and boxes,Return APIs and events,Maker-checker and sealed versions,BP-21 and BP-22,Box trace and recalculation tests
