Event,Owner,Partition_key,Trigger,Minimum_payload,Consumers,Delivery_and_controls
SelfServeSignupSubmitted,Onboarding,identity_subject_hash_or_contact_hash,Validated signup application accepted,"application_reference,requested_plan_code,status,identity_status,activation_effect,occurred_at",Registration;Identity;Licensing;Audit,"outbox,at-least-once,restricted,no raw contact or taxpayer identifiers,no activation effect"
TaxpayerRegistered,Taxpayer,taxpayer_id,Registration record accepted,"taxpayer_id,registration_id,status,occurred_at",Organisation;Identity;Audit,"outbox,at-least-once,restricted"
TaxpayerVerified,Taxpayer,taxpayer_id,Authoritative verification completed,"taxpayer_id,source,source_version,verified_at",Organisation;Compliance;Integration,"minimal attributes,provenance"
UserCreated,Identity,user_id,Internal user created or linked,"user_id,issuer,subject,assurance",Membership;Audit;Security,"no tokens or credential material"
UserRoleChanged,Authorization,user_id,Role membership or delegation changed,"user_id,tenant_id,change_type,policy_version",Authorization caches;Audit;Security,"urgent invalidation,ordered per user"
QuotationCreated,Quotation,quotation_id,Quotation version committed,"quotation_id,organisation_id,version,status",Portal;Notification;Analytics,"tenant scoped,idempotent"
QuotationAccepted,Quotation,quotation_id,Customer acceptance committed,"quotation_id,organisation_id,version,accepted_at",Invoice;Accounting;Notification,"idempotent conversion trigger"
InvoiceCreated,Invoice,invoice_id,Invoice draft version committed,"invoice_id,seller_id,buyer_id,status",Portal;Audit,"not evidence of certification"
InvoiceCertified,Invoice,invoice_id,Fiscal certification committed,"invoice_id,certificate_id,number,rule_version,vat_transaction_id",VAT;Reconciliation;Audit;Notification;Analytics,"atomic outbox,never full document"
InvoiceCancelled,Invoice,invoice_id,Lawful cancellation record committed,"invoice_id,cancellation_id,reason,approved_at",VAT;Reconciliation;Return;Audit,"original immutable,approved"
InvoiceCorrected,Invoice,invoice_id,Linked correction or credit or debit record committed,"invoice_id,correction_id,original_id,type,reason",VAT;Reconciliation;Return;Audit,"append-only links"
VATTransactionCreated,VAT,vat_transaction_id,VAT entries committed,"vat_transaction_id,invoice_id,period,rule_version",Reconciliation;Return;Analytics;Audit,"exact amounts,aggregate version"
VATTransactionMatched,Reconciliation,vat_transaction_id,Seller and buyer evidence matched,"vat_transaction_id,match_id,status,confidence",Return;Compliance;Audit,"late and duplicate tolerant"
VATTransactionExceptionDetected,Reconciliation,vat_transaction_id,Mismatch or policy exception opened,"vat_transaction_id,exception_id,type,severity",Portal tasks;Compliance;Risk;Audit,"protected risk fields separated"
VATPeriodOpened,Period,vat_period_id,Authoritative period opens,"vat_period_id,taxpayer_id,start,end,rule_version",VAT;Accounting;Portal,"effective time explicit"
VATPeriodClosed,Period,vat_period_id,Authorized period snapshot closed,"vat_period_id,taxpayer_id,closing_version,closed_at",Return;Accounting;Audit,"maker-checker,immutable snapshot"
VATReturnGenerated,Return,vat_return_id,Return draft calculation completed,"vat_return_id,period,data_version,rule_version,exception_count",Portal;NamRA;Audit,"not official submission"
VATReturnSubmitted,Return,vat_return_id,Authorized payload durably submitted,"vat_return_id,submission_id,payload_hash,submitted_at",ITAS adapter;Notification;Audit,"idempotent,acknowledgement separate"
AuditCaseCreated,Audit,audit_case_id,Authorized case creation,"audit_case_id,taxpayer_id,classification,created_at",Assignment;Document;Audit,"restricted,reason and authority"
