VAT-MSA capability,CSF 2.0 Function,CSF 2.0 Category,Architecture or control mapping,Target outcome,Evidence,Status
Security and privacy governance,GOVERN,GV.OC Organizational Context,"Document 33; SEC-GOV-001 to 003","Mission stakeholders legal regulatory and contractual context drive security decisions","Approved scope stakeholder and obligation register","PROPOSED_REQUIRES_APPROVAL"
Risk appetite and treatment,GOVERN,GV.RM Risk Management Strategy,"Document 33; risk register; SEC-GOV-001","Risk criteria appetite treatment and exception rules are approved and reviewed","Risk methodology treatments and expiring exceptions","PROPOSED_REQUIRES_APPROVAL"
Security role separation,GOVERN,GV.RR Roles Responsibilities and Authorities,"Documents 33 and 34; SEC-GOV-004","Accountability and independent approval are explicit including no self-approval","Role charters RACI approval and SoD evidence","MANDATORY_BASELINE"
Policy hierarchy,GOVERN,GV.PO Policy,"Document 33; ADR-028; SEC-REG-001","Versioned global regional country and organisation policies cannot weaken mandatory floors","Signed policy profiles merge decisions and tests","PROPOSED_REQUIRES_ADR_APPROVAL"
Control oversight and assurance,GOVERN,GV.OV Oversight,"Documents 33 and 38; evidence catalogue","Management monitors design operating effectiveness findings and improvement","Dashboard management review and assurance reports","PROPOSED_REQUIRES_APPROVAL"
Supplier and integration governance,GOVERN,GV.SC Cybersecurity Supply Chain Risk Management,"Documents 36 and 38; SEC-SUP-001 and 002","ICT supplier and software supply-chain risks are governed through lifecycle and exit","Supplier register contracts SBOM provenance and reviews","PROPOSED_REQUIRES_IMPLEMENTATION"
Asset and service inventory,IDENTIFY,ID.AM Asset Management,"Documents 35 and 36; API and evidence catalogues","Hardware software services data APIs identities suppliers and dependencies have owner and criticality","Reconciled asset API identity data and supplier inventories","PROPOSED_REQUIRES_IMPLEMENTATION"
Data inventory and classification,IDENTIFY,ID.AM Asset Management,"Document 35; SEC-DAT-001","Data products and copies are classified with purpose owner jurisdiction and lifecycle","Processing and data inventories plus classification coverage","PROPOSED_REQUIRES_APPROVAL"
Threat modeling,IDENTIFY,ID.RA Risk Assessment,"Documents 17 and 33-38; security-threat-register.csv","Threats vulnerabilities likelihood impact and control gaps are assessed per domain and change","Threat register reviews and treatment links","PROPOSED_REQUIRES_CONTINUOUS_REVIEW"
Vulnerability intelligence,IDENTIFY,ID.RA Risk Assessment,"Document 36; SEC-SLO and SEC-TST","Exposure exploitability business criticality and active threats drive remediation","Finding inventory risk decisions and deployment mapping","PROPOSED_REQUIRES_IMPLEMENTATION"
Privacy impact assessment,IDENTIFY,ID.RA Risk Assessment,"Document 37; SEC-PRV-003","High-risk personal-data processing receives DPIA or equivalent review","DPIA trigger and approved assessment","PROPOSED_REQUIRES_LEGAL_REVIEW"
Lessons and improvement,IDENTIFY,ID.IM Improvement,"Documents 36 and 38","Incidents tests audits SLO breaches and exercises produce tracked control improvements","Post-incident reviews findings and verified closures","PROPOSED_REQUIRES_OPERATIONS"
Human identity lifecycle,PROTECT,PR.AA Identity Management Authentication and Access Control,"Document 34; SEC-IAM-001 to 005","People are proofed authenticated linked reviewed revoked and recovered at suitable assurance","Identity lifecycle conformance and review evidence","PROPOSED_REQUIRES_PLATFORM_DECISION"
Workload and API identity,PROTECT,PR.AA Identity Management Authentication and Access Control,"Document 34; SEC-IAM-003","Machine principals use short-lived audience-bound identity and scoped authorization","Credential inventory issuance rotation and replay tests","PROPOSED_REQUIRES_PLATFORM_DECISION"
RBAC ABAC and tenant authorization,PROTECT,PR.AA Identity Management Authentication and Access Control,"Document 34; SEC-AUTH-001 to 003","Every protected action and resource is authorized in trusted tenant context","Policy decisions and negative access tests","MANDATORY_BASELINE"
PAM and JIT access,PROTECT,PR.AA Identity Management Authentication and Access Control,"Document 34; SEC-PAM-001 and 002","Privileged access is strong authenticated approved scoped recorded and expiring","PAM request session command and expiry evidence","PROPOSED_REQUIRES_PLATFORM_DECISION"
Security awareness and role competence,PROTECT,PR.AT Awareness and Training,"Documents 33 and 38","Users developers operators executives and responders understand assigned security duties","Training completion simulations and competence records","PROPOSED_REQUIRES_PROGRAM"
