Profile,Source or requirement,Applicability questions,Architecture capabilities,Required authority or review,Activation status
GLOBAL,"ISO/IEC 27001 and 27002 baseline","What is the ISMS scope legal entity service boundary risk appetite and supplier boundary?","Unified controls risk treatment evidence management review and improvement","Executive CISO Internal Audit and independent certification body only if certification pursued","DESIGNED_TO_ALIGN_NOT_CERTIFIED"
GLOBAL,"ISO/IEC 27701 privacy baseline","Which entities are PII controllers processors or equivalent for each purpose?","PIMS processing inventory DPIA notices rights retention transfer supplier and breach workflows","Privacy Legal Data Owners and independent certification body only if certification pursued","DESIGNED_TO_ALIGN_NOT_CERTIFIED"
GLOBAL,"NIST CSF 2.0","What current and target risk outcomes apply to the deployment and service tier?","Govern Identify Protect Detect Respond Recover profile and improvement plan","CISO and Enterprise Risk","APPLICABLE_REFERENCE"
GLOBAL,"PCI DSS 4.0.1","Does VAT-MSA store process transmit cardholder data or affect the security of the CDE?","Scope minimization segmentation payment provider integration evidence and tests","Payment Security Finance Legal and QSA or competent assessor as required","PAYMENTS_DISABLED_SCOPE_UNDETERMINED"
GLOBAL,"ISO/IEC 42001 and AI security","Is any AI ML model inference RAG agent or automated decision introduced?","AI inventory impact model data prompt tool output monitoring and human oversight controls","AI Governance CISO Privacy Legal and relevant regulator","AI_DISABLED"
EU_EEA,"GDPR Regulation EU 2016/679","Is there EU establishment offering monitoring or otherwise in-scope processing and what is each party role?","Principles accountability ROPA processor terms design security DPIA rights breach DPO representative and transfers","EU Legal Privacy and competent supervisory advice where required","CONDITIONAL_LEGAL_ASSESSMENT_REQUIRED"
EU_EEA,"NIS2 Directive EU 2022/2555 and Member State law","Is the actual entity or service covered by sector size designation or national transposition?","Management accountability risk controls incident reporting continuity supply chain vulnerability cryptography and MFA","Country Legal CISO Management Body and competent authority","CONDITIONAL_MEMBER_STATE_ASSESSMENT_REQUIRED"
EU_EEA,"Electronic identity and trust requirements","Does the service provide or rely on regulated trust electronic signature seal timestamp or identity services?","Qualified or approved trust integration signature purpose validation and evidence","Country Legal Trust Authority and regulator","CONDITIONAL_NOT_AUTHORIZED"
EU_EEA,"Financial digital operational resilience and sector rules","Is the customer or VAT-MSA entity a regulated financial entity or critical ICT provider in scope?","ICT risk incident testing supplier concentration and oversight evidence","Financial Regulatory Legal Procurement and CISO","CONDITIONAL_SCOPE_UNDETERMINED"
USA,"NIST CSF 2.0","Is a customer or contract using CSF as voluntary or mandatory profile?","Current target profiles risk outcomes and improvement evidence","US Contract Authority and CISO","CONDITIONAL_CONTRACT_PROFILE"
USA,"NIST SP 800-171 Rev.3","Does a US federal contract or agreement place CUI in a defined VAT-MSA boundary?","CUI boundary tailored requirements assessment and incident obligations","US Contract Legal CISO and contracting agency","NOT_CURRENTLY_IN_SCOPE"
