Evidence ID,Control coverage,Evidence object,Authoritative source,Collection method,Minimum metadata,Retention class,Owner,Independent verification,Status
EV-GOV-001,"SEC-GOV-001 to 005","Control framework and applicability snapshot","Governance repository and approval system","Versioned export plus signature/hash","scope version sources owners statuses approvers effective dates content hash","GOVERNANCE_LONG_TERM","CISO","Internal Audit samples completeness and approvals","DESIGNED"
EV-RSK-001,"SEC-GOV-001; ID.RA mappings","Risk register and treatment decision","Enterprise risk system","Authenticated scheduled export","risk assets threats likelihood impact treatment owner due date acceptance expiry","GOVERNANCE_LONG_TERM","Enterprise Risk","Risk Committee and Internal Audit","DESIGNED"
EV-IAM-001,"SEC-IAM-001 to 005","Identity assurance and lifecycle event set","IdP trust broker and lifecycle orchestrator","Schema-validated event pipeline","identity ref issuer assurance lifecycle action outcome time environment correlation","SECURITY_RESTRICTED","Identity Owner","Security Assurance samples against source configuration","DESIGNED"
EV-AR-001,"SEC-GOV-005","Quarterly access-review snapshot","Access Governance service","Immutable review snapshot and decisions","scope subjects grants risk last use reviewer disposition completion revocations","ACCESS_GOVERNANCE_LONG_TERM","Access Governance","Internal Audit samples reviewer independence and revocation","DESIGNED"
EV-PAM-001,"SEC-PAM-001 and 002","Privileged access request session and expiry package","PAM broker and session recorder","Automatic manifest with protected recording reference","requester approver ticket scope authentication start end commands actions expiry hash","SECURITY_HIGHLY_RESTRICTED","PAM Owner","CISO/Internal Audit sample and tamper verification","DESIGNED"
EV-POL-001,"SEC-AUTH-001 to 003; SEC-REG-001","Policy/profile version and decision evidence","Policy registry and decision engine","Signed profile plus sampled/exception decisions","policy ID version source hierarchy signature effective dates input refs decision obligations reason","SECURITY_RESTRICTED","Authorization Owner","Security Architecture verifies merge and signature","DESIGNED"
EV-TEN-001,"SEC-AUTH-002","Tenant isolation test package","CI security test system and independent assessor","Automated result plus signed independent report","layers tenants cases build environment result finding remediation retest","ASSURANCE_LONG_TERM","CISO and Data Owner","Independent penetration tester before production","DESIGNED"
EV-DAT-001,"SEC-DAT-001 and SEC-PRV-001","Data and processing inventory snapshot","Data catalogue and PIMS","Scheduled reconciled export","data product fields classification purpose owner jurisdictions systems recipients retention","PRIVACY_GOVERNANCE_LONG_TERM","Data Governance and Privacy","Privacy/Internal Audit reconciles schemas and systems","DESIGNED"
EV-ENC-001,"SEC-DAT-002 and 003","Encryption posture report","Cloud database object event endpoint and KMS configuration","Authenticated configuration collection","asset environment classification encryption mode key ref protocol exception collected time","SECURITY_RESTRICTED","Platform Security","Independent configuration and protocol sampling","DESIGNED"
EV-KEY-001,"SEC-KEY-001 to 003","Key inventory lifecycle and usage evidence","KMS HSM PKI certificate and vault systems","Automatic inventory and event export","key ref purpose algorithm environment custodian status creation rotation expiry revoke use approvals","SECURITY_HIGHLY_RESTRICTED","Cryptographic Authority","Independent key ceremony and usage review","DESIGNED"
EV-SEC-001,"SEC-KEY-002","Secret scan and response evidence","Repository CI registry and runtime scanners","Per-commit/build scan plus incident linkage","artifact digest scanner/rule version finding severity disposition rotation ref","SECURITY_RESTRICTED","DevSecOps","AppSec samples false negatives and response","PARTIALLY_IMPLEMENTED"
EV-ASV-001,"SEC-APP-001 to 006","ASVS requirement traceability and verification","Requirements/test management and CI","Version-pinned matrix with automated/manual results","application risk ASVS version requirement control test build result reviewer","ASSURANCE_LONG_TERM","Application Security","Independent application security review","DESIGNED"
EV-API-001,"SEC-API-001 to 004","API inventory contract and conformance package","API catalogue gateway and contract tests","Catalogue/route reconciliation and signed test export","endpoint owner version auth scopes classification budgets consumers result retirement","ASSURANCE_LONG_TERM","API Platform Owner","Architecture/AppSec review and traffic reconciliation","DESIGNED"
EV-FIS-001,"SEC-FIS-001 and 002","Fiscal determination integrity manifest","Invoice tax ledger and audit services","Automatic per protected determination","record refs jurisdiction pack rules currency source versions result hash time actor","FISCAL_STATUTORY","Fiscal Domain Owners","Finance Controls and Tax Policy sample replay","DESIGNED"
EV-CLD-001,"SEC-NET and SEC-CLD","Cloud network workload posture package","Cloud control plane CSPM IaC admission and runtime","Continuous configuration events plus release snapshot","asset environment account region policy image digest identity exposure findings time","SECURITY_RESTRICTED","Cloud Security","Independent cloud penetration/configuration assessment","DESIGNED"
EV-SUP-001,"SEC-SUP-001","SBOM provenance signature and deployment linkage","Build system registry signing service and deployment controller","Automatic per artifact/release","source commit builder inputs dependency SBOM digest provenance signature artifact digest environment","SUPPLY_CHAIN_LONG_TERM","DevSecOps","AppSec verifies reproducibility/integrity and admission","DESIGNED"
EV-VUL-001,"SEC-TST-001; SEC-SLO-001","Vulnerability finding and remediation package","SAST SCA DAST IaC container exposure and case systems","Normalized automated ingestion and verified closure","finding asset release severity exploitability exposure owner dates action acceptance expiry retest","SECURITY_RESTRICTED","Vulnerability Manager","CISO samples overdue accepted and closed findings","DESIGNED"
EV-AUD-001,"SEC-AUD-001 and 002","Audit completeness and integrity report","Application audit pipeline immutable evidence store and time service","Continuous checks and scheduled signed report","sources expected observed gaps sequence/hash time drift access retention legal holds","AUDIT_STATUTORY","Audit Platform Owner","Internal Audit verifies independently against source events","DESIGNED"
EV-SOC-001,"SEC-MON-001 and 002","Telemetry coverage detection and source-health report","SIEM security lake collectors and detection repository","Continuous metrics plus versioned report","source asset coverage freshness gaps detection versions tests alerts incidents tuning","SECURITY_RESTRICTED","SOC Owner","Security Assurance samples source and test fixtures","DESIGNED"
EV-INC-001,"SEC-RSP-001 and 002","Incident case and response evidence","Incident management SOAR SIEM and communications systems","Automatic linkage plus incident scribe record","incident severity scope timeline sources decisions actions approvers rollback notifications lessons","INCIDENT_LEGAL_HOLD_CAPABLE","Incident Commander","Post-incident independent review for material incidents","DESIGNED"
EV-FOR-001,"SEC-FOR-001","Digital evidence custody manifest","Forensic evidence system","Authorized acquisition and every transfer/access event","evidence ID source collector method tool version times timezone hashes custody access disposition hold","FORENSIC_LEGAL_HOLD","Evidence Custodian","Legal and independent forensic reviewer","DESIGNED"
