Threat ID,Domain,STRIDE or abuse class,Threat scenario,Primary impact,Prevent or limit,Detect,Respond or recover,Residual risk owner,Status
TM-AUTH-001,Authentication,"Spoofing","Credential stuffing or phishing takes over a taxpayer or official account","Unauthorized tax financial or administrative action","Phishing-resistant MFA for risk tiers bot and rate controls compromised-secret policy secure recovery","Failure velocity new device token reuse and action anomaly","Challenge revoke re-proof and review affected fiscal actions","Identity Owner","OPEN_CONTROL_IMPLEMENTATION"
TM-AUTH-002,Authentication,"Spoofing and Tampering","Forged federation assertion or token exploits issuer audience key nonce or time validation","Privilege or identity impersonation","Strict OIDC SAML validation pinned metadata replay cache short audience-bound tokens","Unknown issuer key claim drift replay and validation failures","Deny revoke trust rotate keys and coordinate provider incident","Identity Owner","OPEN_EXTERNAL_CONTRACT"
TM-AUTH-003,Authentication,"Elevation of Privilege","Recovery process is abused to replace authenticators","Account takeover and lockout of legitimate user","Equal-or-stronger recovery proofing delay notification and prior-token revocation","Recovery velocity new identifier and failed-proof patterns","Freeze recover through enhanced proof and investigate","Identity Owner","OPEN_POLICY_DECISION"
TM-REG-001,Taxpayer Registration,"Spoofing and Fraud","Attacker registers or links a false taxpayer organisation","False fiscal identity and downstream fraud","Authoritative identifier verification collision quarantine maker-checker and source provenance","Duplicate identifiers evidence conflicts and risky link behavior","Suspend activation preserve application evidence and re-verify","Taxpayer Domain Owner","OPEN_ITAS_NAMRA_CONFIRMATION"
TM-REG-002,Taxpayer Registration,"Tampering","Registration attributes are changed after verification without authority","Misrouted tax jurisdiction or entitlement","Immutable verification version controlled change case and independent approval","Attribute drift jurisdiction conflict and privileged change alerts","Fail closed restore authoritative version and investigate","Taxpayer Data Steward","OPEN_CONTROL_IMPLEMENTATION"
TM-TEN-001,Multi-Tenancy,"Information Disclosure and Elevation","User changes organisation or resource identifier to access another tenant","Cross-tenant data breach","Trusted ownership lookup tenant predicates RLS object cache queue search analytics isolation","Cross-tenant denial canary and anomalous enumeration","Suspend principal or client preserve evidence and privacy incident assessment","CISO and Data Owner","CRITICAL_RELEASE_BLOCKER"
TM-INV-001,Tax Invoice,"Tampering and Repudiation","Invoice content changes under the same source or certified identifier","Incorrect VAT and loss of evidence integrity","Canonical hash immutable certification idempotency and linked corrections","Hash mismatch duplicate key and source-content drift","Reject or quarantine and create governed correction case","Invoice Domain Owner","CRITICAL_RELEASE_BLOCKER"
TM-INV-002,Tax Invoice,"Replay and Fraud","Valid invoice is duplicated replayed or submitted through multiple channels","False input claim and ledger duplication","Durable idempotency unique authority series and buyer-seller reconciliation","Duplicate network timing source and amount anomalies","Quarantine duplicate preserve both submissions and reconcile","Invoice and Reconciliation Owners","OPEN_CONTROL_IMPLEMENTATION"
TM-INV-003,Tax Invoice,"Spoofing","Fraudster invents seller buyer or certification/QR verification","False tax evidence","Verified canonical parties signed receipt where approved and minimal public verification","Unknown party signature failure and public verification abuse","Reject revoke source and investigate linked claims","Invoice and Identity Owners","OPEN_NAMRA_SIGNATURE_DECISION"
TM-TAX-001,Tax Rule Engine,"Tampering","Unauthorized tax rate formula exemption or rounding rule is activated","Systemic incorrect tax result","Signed immutable country pack independent author review approve activate and pinned versions","Signature approval drift and result regression","Halt activation rollback prospectively and recompute impact evidence","Tax Policy Authority","CRITICAL_COUNTRY_GATE"
