Role,Portal,Primary_permissions,Organisation_scope,Taxpayer_financial_data,NamRA_internal_risk,Platform_configuration,ABAC_obligations
Director,Buyer+Seller,"dashboard,approvals,returns,reports,delegation",Own active memberships,Own organisation only,None,None,"capability,branch,workflow,MFA for submission"
Organisation Portal Administrator (Taxpayer Administrator compatibility key),Organisation Workspace,"organisation,users,roles,branches,workflow,licensing metadata,consent,integrations",Own organisation,Metadata and explicitly granted business records,None,None,"no NamRA/platform roles; licence ceiling; approval; recertification; step-up"
Finance Manager,Buyer+Seller,"accounting,invoices,expenses,returns,approvals,reports",Assigned organisations/branches,Approved financial scope,None,None,"period,branch,workflow,approval threshold"
Accountant,Buyer+Seller,"journals,invoices,expenses,reconciliation,returns",Assigned organisations/periods,Approved financial scope,None,None,"period,status,segregation of duties"
Finance Officer,Buyer+Seller,"invoices,purchases,receipts,payments",Assigned organisation/branches,Operational subset,None,None,"branch,amount threshold,workflow"
Procurement Officer,Buyer,"suppliers,quotations,purchases,inventory receipts",Assigned branches,Purchase subset,None,None,"buyer capability,branch,approval"
Sales Officer,Seller,"customers,quotations,sales,invoices",Assigned branches,Sales subset,None,None,"seller capability,branch,invoice approval"
Auditor Reviewer,Buyer+Seller,"read business evidence,reports",Assigned organisation/periods,Read-only approved subset,None,None,"purpose,period,export control"
Read Only,Buyer+Seller,"read dashboard and assigned records",Assigned organisation/branches,Read-only minimal,None,None,"masking,no export by default"
Delegated Accountant,Buyer+Seller,"explicit taxpayer delegated scopes",Named grant only,Grant-limited,None,None,"consent,expiry,purpose,revocation"
Tax Practitioner,Buyer+Seller,"explicit tax return/reconciliation scopes",Named grant only,Grant-limited statutory subset,None,None,"consent,expiry,MFA,submission approval"
NamRA Compliance Officer,NamRA,"taxpayers,registrations,returns,reconciliation,compliance",Assigned region/portfolio/case,Authorized statutory view,Summary only,None,"department,region,purpose,case,classification"
NamRA Auditor,NamRA,"audit cases,evidence,findings,communications",Assigned cases/regions,Case-limited statutory view,Case-approved indicators,None,"case assignment,period,purpose,enhanced audit"
NamRA Risk Analyst,NamRA,"restricted risk analytics and review",Assigned region/portfolio,Minimum needed,Authorized,None,"clearance,purpose,no taxpayer-facing disclosure"
Refund Reviewer,NamRA,"refund candidate review and approval workflow",Assigned cases,Return/evidence scope,Authorized indicators,None,"dual approval,legal rule,amount threshold"
NamRA System Administrator,NamRA Admin,"taxpayer/staff activation,roles,permissions,lifecycle",Administrative authority,No automatic transaction access,None,Tax-access configuration only,"region,department,approval,JIT for sensitive changes"
