Source,Version or status reviewed 2026-08-11,Nature,VAT-MSA applicability trigger,Primary architecture mapping,Overlap or unique contribution,Potential conflict or caution,Required evidence,Decision authority,Applicability status
ISO/IEC 27001,"2022 plus Amd 1:2024","Certifiable ISMS requirements","Global organizational security management baseline","Documents 33 and 38; SEC-GOV; risk; control and assurance governance","Umbrella management system over people process and technology","Architecture alignment is not certification; licensed normative text and SoA required","ISMS scope; risk method; SoA; audits; management review","Executive and CISO","DESIGNED_TO_ALIGN_NOT_CERTIFIED"
ISO/IEC 27002,"2022","Information security control guidance","Control design guidance under the ISMS","security-control-matrix.csv; documents 34-38","Detailed control themes overlapping NIST and OWASP","Guidance is tailored through risk and not mechanically universal","Control applicability rationale and implementation evidence","CISO","APPLICABLE_GUIDANCE"
ISO/IEC 27017,"2015 current; Edition 2 under publication","Cloud security guidance","Any cloud service provision or use","Document 35 cloud and shared-responsibility controls","Adds cloud customer/provider responsibilities","Do not baseline unpublished Edition 2; run controlled gap review after publication","Cloud responsibility matrix and provider configuration evidence","Cloud Security and CISO","CURRENT_2015_MONITOR_EDITION_2"
ISO/IEC 27018,"2025","Public-cloud PII processor guidance","Public cloud provider processes PII for VAT-MSA or VAT-MSA provides such service","Documents 35 and 37; SEC-DAT and SEC-PRV","Cloud-specific PII transparency and processor guidance","Controller obligations and local law may be additional","Processor inventory; contracts; cloud PII controls","Privacy and Supplier Risk","CONDITIONAL_BY_CLOUD_ROLE"
ISO/IEC 27701,"2025","Certifiable privacy information management system requirements and guidance","VAT-MSA processes PII as controller or processor or equivalent role","Document 37; SEC-PRV","PIMS accountability integrated with information security","Does not itself prove compliance with a privacy law","PIMS scope; processing records; DPIAs; audits; management review","Privacy Authority","DESIGNED_TO_ALIGN_NOT_CERTIFIED"
ISO 22301,"2019 plus Amd 1:2024; revision in development","Certifiable business continuity management system requirements","Critical service continuity and national-scale deployment","Documents 20 and 38; SEC-RES","Business impact continuity governance and exercises","Proposed RTO/RPO are not proven capability","BIA; BCP; exercises; achieved recovery metrics","Executive and DR Authority","DESIGNED_TO_ALIGN_NOT_CERTIFIED"
ISO/IEC 20000-1,"2018 plus Amd 1:2024","Certifiable service management system requirements","When service-management certification or contractual assurance is in scope","Document 38 operations change incident service continuity","Service lifecycle and continual improvement","Separate from product security certification; scope must be defined","Service catalogue; change incident problem and review evidence","Service Management Authority","CONDITIONAL"
ISO/IEC 27005,"2022","Information security risk guidance","Global security risk assessment and treatment","Documents 33 and 40-equivalent governance materials; risk register","Risk methodology supporting ISO/IEC 27001","Qualitative and quantitative methods require approved tailoring","Risk criteria register treatments and review","CISO and Enterprise Risk","APPLICABLE_GUIDANCE"
ISO/IEC 27035 series,"Part 1:2023 and current applicable parts","Information security incident management guidance","SOC CSIRT and incident-response operation","Document 36; SEC-RSP","Structured incident preparation response and learning","Check current parts in licensed standards register","Incident policy playbooks cases and exercises","CSIRT and CISO","APPLICABLE_GUIDANCE"
