SLO ID,Security objective,Indicator,Proposed target,Window,Owner,Evidence,Breach action,Approval status
SLO-IAM-001,"Authentication availability for approved service tier","successful non-abusive authentication requests divided by valid attempts excluding approved maintenance","Target to be set per tier; no claim before load/failover evidence","rolling 30 days","Identity and SRE","identity SLI and synthetic probe","Incident review and protected degraded-mode decision","REQUIRES_ARCHITECTURE_AND_OPERATIONS_APPROVAL"
SLO-IAM-002,"Privileged step-up enforcement","privileged changes with verified step-up and approval refs divided by all privileged changes","100 percent","continuous and monthly review","PAM Owner","privileged action and PAM evidence","SEV-2 minimum and release block until explained","MANDATORY_TARGET_PLATFORM_PENDING"
SLO-IAM-003,"Urgent identity revocation","time from approved urgent disable to denial of sessions tokens API credentials and active JIT grants","Proposed P95 <= 5 minutes and maximum <= 15 minutes","per event and quarterly","Identity Owner","revocation drill and decision logs","Escalate incident and fix propagation gap","REQUIRES_CISO_APPROVAL"
SLO-AR-001,"Quarterly protected-access review","in-scope grants receiving certify reduce or revoke disposition by due date","100 percent critical/privileged; >= 98 percent other in-scope with tracked remainder","quarterly","Access Governance","review snapshot and revocations","Freeze new privileged grants and escalate overdue items","MANDATORY_CADENCE_TARGET_REQUIRES_APPROVAL"
SLO-POL-001,"Authorization policy availability","valid policy decisions served within latency budget without stale mandatory source","Target to be set by service tier; protected writes never fail open","rolling 30 days","Authorization and SRE","policy decision metrics and outage tests","Restrict protected operations and incident review","MANDATORY_BEHAVIOR_NUMERIC_TARGET_PENDING"
SLO-POL-002,"Policy/profile integrity","accepted profiles with valid signature compatibility effective dates and anti-downgrade checks","100 percent","continuous","Security Architecture","registry verification and activation evidence","Block activation and open security incident","MANDATORY_TARGET"
SLO-DAT-001,"Restricted-data encryption coverage","in-scope assets verified encrypted in transit and at rest divided by discovered in-scope assets","100 percent with no unowned assets","continuous and monthly review","Platform Security","encryption posture and asset inventory","Block release or isolate asset and open incident/risk","MANDATORY_TARGET_PLATFORM_PENDING"
SLO-KEY-001,"Key and certificate rotation before expiry","in-scope keys/certificates rotated within approved cryptoperiod and before expiry","100 percent","continuous","Cryptographic Authority","KMS PKI inventory and rotation events","Urgent rotation incident and dependent-service review","MANDATORY_TARGET"
SLO-SEC-001,"Secret exposure response","time from confirmed source/artifact secret detection to revocation and replacement","Critical production-capable secret proposed <= 60 minutes; all targets require approval","per finding","Platform Security","scanner incident and vault rotation evidence","Declare incident remove affected artifacts and hunt use","REQUIRES_CISO_APPROVAL"
SLO-MON-001,"Critical telemetry coverage","critical assets/control points sending healthy required telemetry divided by critical inventory","100 percent; missing source is not a pass","continuous and daily review","SOC and SRE","coverage inventory and collector health","Restrict high-risk changes and open monitoring incident","MANDATORY_TARGET_PLATFORM_PENDING"
SLO-MON-002,"Critical telemetry freshness","time from source event occurrence to queryable protected security event","Proposed P95 <= 2 minutes and maximum <= 10 minutes under normal load","rolling 24 hours","SOC","source and ingest timestamps","Investigate pipeline/backlog and apply controlled restrictions","REQUIRES_SOC_APPROVAL"
SLO-DET-001,"Detection test reliability","enabled critical detections passing positive and negative fixtures","100 percent","every change and daily scheduled","Detection Engineering","detection-as-code test results","Disable bad version restore prior rule and investigate gap","MANDATORY_TARGET"
SLO-IR-001,"Critical alert acknowledgement","time from SEV-1 alert to qualified human acknowledgement","Proposed <= 5 minutes for 24x7 production tier","per incident and monthly","SOC","alert paging and incident timestamps","Escalate on-call and staffing/capacity review","REQUIRES_SERVICE_TIER_AND_STAFFING_APPROVAL"
SLO-IR-002,"Critical containment decision","time from validated SEV-1 declaration to recorded containment decision","Proposed <= 30 minutes; action time depends on scenario","per incident","Incident Commander","incident timeline and decision","Executive/CISO escalation and post-incident finding","REQUIRES_CISO_APPROVAL"
SLO-VUL-001,"Critical exploitable vulnerability remediation","time from validated critical exploitable finding to safe production remediation or isolation","Proposed <= 24 hours; active exploitation immediate incident","per finding","Vulnerability Manager","finding deployment and retest evidence","Block release isolate exposure and executive/CISO escalation","REQUIRES_CISO_APPROVAL"
SLO-VUL-002,"High vulnerability remediation","time from validated high finding to verified deployed remediation","Proposed <= 14 calendar days risk-adjusted","per finding and monthly","Vulnerability Manager","finding deployment and retest evidence","Time-limited risk decision or release restriction","REQUIRES_CISO_APPROVAL"
SLO-AUD-001,"Required audit event completeness","observed valid required events divided by expected events/control transactions","100 percent for critical audited actions","continuous and daily reconciliation","Audit Platform Owner","source/outbox/sink counts and integrity report","Open security incident and restrict affected protected action","MANDATORY_TARGET_PLATFORM_PENDING"
SLO-BAK-001,"Backup job success","successful verified backup points divided by scheduled in-scope jobs","100 percent Tier 0/1; numeric tolerance for lower tiers requires approval","daily and monthly","SRE and Data Owners","backup job and integrity evidence","Escalate and restore missing protection within runbook","REQUIRES_SERVICE_TIER_APPROVAL"
SLO-RST-001,"Restore verification success","sampled restore exercises passing integrity authorization tenant and audit checks","100 percent","monthly sample and quarterly service","DR and Data Owners","restore manifest and test evidence","Block expansion and remediate before next gate","MANDATORY_TARGET"
SLO-DR-001,"RTO achievement","elapsed declared recovery time against approved service RTO","100 percent exercises at or within approved RTO across required scenarios","per exercise","DR Lead","exercise timeline","NOT READY until repeated pass; executive remediation","TARGET_NUMBERS_REQUIRE_APPROVAL_AND_EXERCISE"
SLO-DR-002,"RPO achievement","verified data loss window against approved service RPO plus fiscal reconciliation","100 percent exercises at or within approved RPO with matched control totals","per exercise","DR and Data Owners","recovery point and control totals","NOT READY until repeated pass; data architecture remediation","TARGET_NUMBERS_REQUIRE_APPROVAL_AND_EXERCISE"
SLO-SUP-001,"Critical supplier review freshness","critical suppliers with current risk contract evidence incident contacts and exit plan","100 percent","quarterly","Supplier Risk","supplier register and review evidence","Suspend onboarding/new scope and escalate overdue supplier","REQUIRES_PROCUREMENT_APPROVAL"
SLO-TST-001,"Mandatory security-test gate","required security tests passing for release with no unresolved critical finding","100 percent","per release","Application Security","release acceptance package","Block promotion","MANDATORY_TARGET"
