Control ID,Security Requirement,Standard,Region,System Component,Control Type,Implementation,Evidence,Test Method,Owner,Status
SEC-GOV-001,"Maintain one risk-based security and privacy control framework with owners, applicability, evidence and review","ISO/IEC 27001:2022; NIST CSF 2.0 GV","Global","Governance","Governance","Versioned control register and management review","Approved register; minutes; risk decisions","Quarterly completeness and owner review","CISO","PROPOSED_REQUIRES_APPROVAL"
SEC-GOV-002,"Distinguish alignment, certification, attestation and legal compliance claims","ISO/IEC 27001:2022; ISO/IEC 27701:2025","Global","Governance and Communications","Preventive","Claims approval workflow and controlled wording","Claim approval; assessment report reference","Sample public and contract claim review","Legal and CISO","PROPOSED_REQUIRES_APPROVAL"
SEC-GOV-003,"Assess standards and laws for actual entity, service, data, sector and territory scope","ISO/IEC 27005:2022; NIST CSF 2.0 GV.RM","Global and Country","Compliance","Governance","Signed applicability record per deployment","Applicability opinion; source register","Pre-release applicability gate","Legal and Compliance","PROPOSED_REQUIRES_APPROVAL"
SEC-GOV-004,"Prohibit self-approval and emergency segregation-of-duties override","ISO/IEC 27001:2022; NIST SP 800-53 AC","Global","Workflow and Administration","Preventive","Decision-time actor-lineage and independent approver policy","Approval evidence; denied conflict events","Property and end-to-end SoD tests","CISO and Finance Controls","MANDATORY_BASELINE"
SEC-GOV-005,"Review protected and privileged access at least quarterly","ISO/IEC 27001:2022; NIST SP 800-53 AC and PS","Global","Access Governance","Detective","Snapshot certification with revoke/reduce outcomes","Review snapshot; reviewer decisions; revocations","Quarterly completion and sampling","Access Governance Owner","MANDATORY_BASELINE"
SEC-IAM-001,"Authenticate all human and machine principals before protected access","NIST SP 800-63-4; NIST SP 800-53 IA","Global","Identity","Preventive","Approved IdP and workload identity with strict trust validation","Authentication and issuer configuration evidence","Positive and negative authentication conformance","Identity Owner","PROPOSED_REQUIRES_PLATFORM_DECISION"
SEC-IAM-002,"Require phishing-resistant step-up authentication for privileged changes","NIST SP 800-63B-4; NIST CSF 2.0 PR.AA","Global","Identity and Administration","Preventive","Risk-tiered MFA policy and explicit transaction intent","Authenticator policy; step-up audit events","Privileged journey and downgrade tests","Identity Owner and CISO","MANDATORY_BASELINE"
SEC-IAM-003,"Use short-lived audience-bound service and access credentials","NIST SP 800-207; NIST SP 800-53 IA and SC","Global","Identity and Workloads","Preventive","Workload identity and token policy with automated rotation","Credential lifetime and issuance logs","Expired wrong-audience and replay tests","Platform Security","PROPOSED_REQUIRES_PLATFORM_DECISION"
SEC-IAM-004,"Protect identity recovery at least as strongly as authentication","NIST SP 800-63-4; OWASP ASVS 5.0.0","Global","Identity","Preventive and Detective","Risk-based recovery proofing notification and revocation","Recovery case and notification evidence","Recovery abuse and social-engineering test","Identity Owner","PROPOSED_REQUIRES_APPROVAL"
SEC-IAM-005,"Revoke sessions, refresh tokens, API credentials and active privilege on urgent offboarding","ISO/IEC 27001:2022; NIST SP 800-53 AC and IA","Global","Identity and Access Governance","Responsive","Idempotent revocation orchestrator and decision-time active check","Revocation timestamps and residual-session results","Offboarding race and revocation drill","Identity and HR Owners","PROPOSED_REQUIRES_SLO_APPROVAL"
